,model,name,MCC,seed
94,knn,knn_seed_18_skf_4_paras_3_K_9,0.353,18_skf_4
95,knn,knn_seed_19_skf_0_paras_3_K_9,0.371,19_skf_0
96,knn,knn_seed_19_skf_1_paras_3_K_9,0.315,19_skf_1
97,knn,knn_seed_19_skf_2_paras_3_K_9,0.21100000000000002,19_skf_2
98,knn,knn_seed_19_skf_3_paras_3_K_9,0.34700000000000003,19_skf_3
99,knn,knn_seed_19_skf_4_paras_3_K_9,0.28300000000000003,19_skf_4
0,lr,lr_seed_0_skf_0_paras_2_C_0.01_weight_balanced,0.35,0_skf_0
1,lr,lr_seed_0_skf_1_paras_2_C_0.01_weight_balanced,0.326,0_skf_1
2,lr,lr_seed_0_skf_2_paras_2_C_0.01_weight_balanced,0.3,0_skf_2
3,lr,lr_seed_0_skf_3_paras_2_C_0.01_weight_balanced,0.326,0_skf_3
4,lr,lr_seed_0_skf_4_paras_2_C_0.01_weight_balanced,0.33,0_skf_4
5,lr,lr_seed_1_skf_0_paras_2_C_0.01_weight_balanced,0.33399999999999996,1_skf_0
6,lr,lr_seed_1_skf_1_paras_2_C_0.01_weight_balanced,0.3,1_skf_1
7,lr,lr_seed_1_skf_2_paras_2_C_0.01_weight_balanced,0.353,1_skf_2
8,lr,lr_seed_1_skf_3_paras_2_C_0.01_weight_balanced,0.303,1_skf_3
9,lr,lr_seed_1_skf_4_paras_2_C_0.01_weight_balanced,0.345,1_skf_4
11,lr,lr_seed_2_skf_1_paras_2_C_0.01_weight_balanced,0.353,2_skf_1
12,lr,lr_seed_2_skf_2_paras_2_C_0.01_weight_balanced,0.322,2_skf_2
13,lr,lr_seed_2_skf_3_paras_2_C_0.01_weight_balanced,0.29100000000000004,2_skf_3
14,lr,lr_seed_2_skf_4_paras_2_C_0.01_weight_balanced,0.369,2_skf_4
15,lr,lr_seed_3_skf_0_paras_2_C_0.01_weight_balanced,0.308,3_skf_0
16,lr,lr_seed_3_skf_1_paras_2_C_0.01_weight_balanced,0.319,3_skf_1
17,lr,lr_seed_3_skf_2_paras_2_C_0.01_weight_balanced,0.358,3_skf_2
18,lr,lr_seed_3_skf_3_paras_2_C_0.01_weight_balanced,0.311,3_skf_3
20,lr,lr_seed_4_skf_0_paras_2_C_0.01_weight_balanced,0.315,4_skf_0
21,lr,lr_seed_4_skf_1_paras_2_C_0.01_weight_balanced,0.369,4_skf_1
23,lr,lr_seed_4_skf_3_paras_2_C_0.01_weight_balanced,0.297,4_skf_3
24,lr,lr_seed_4_skf_4_paras_2_C_0.01_weight_balanced,0.3,4_skf_4
25,lr,lr_seed_5_skf_0_paras_2_C_0.01_weight_balanced,0.308,5_skf_0
26,lr,lr_seed_5_skf_1_paras_2_C_0.01_weight_balanced,0.28,5_skf_1
27,lr,lr_seed_5_skf_2_paras_2_C_0.01_weight_balanced,0.353,5_skf_2
28,lr,lr_seed_5_skf_3_paras_2_C_0.01_weight_balanced,0.374,5_skf_3
29,lr,lr_seed_5_skf_4_paras_2_C_0.01_weight_balanced,0.365,5_skf_4
30,lr,lr_seed_6_skf_0_paras_2_C_0.01_weight_balanced,0.358,6_skf_0
31,lr,lr_seed_6_skf_1_paras_2_C_0.01_weight_balanced,0.3,6_skf_1
32,lr,lr_seed_6_skf_2_paras_2_C_0.01_weight_balanced,0.308,6_skf_2
33,lr,lr_seed_6_skf_3_paras_2_C_0.01_weight_balanced,0.369,6_skf_3
34,lr,lr_seed_6_skf_4_paras_2_C_0.01_weight_balanced,0.35,6_skf_4
35,lr,lr_seed_7_skf_0_paras_2_C_0.01_weight_balanced,0.304,7_skf_0
36,lr,lr_seed_7_skf_1_paras_2_C_0.01_weight_balanced,0.319,7_skf_1
37,lr,lr_seed_7_skf_2_paras_2_C_0.01_weight_balanced,0.26899999999999996,7_skf_2
38,lr,lr_seed_7_skf_3_paras_2_C_0.01_weight_balanced,0.33,7_skf_3
39,lr,lr_seed_7_skf_4_paras_2_C_0.01_weight_balanced,0.353,7_skf_4
40,lr,lr_seed_8_skf_0_paras_2_C_0.01_weight_balanced,0.317,8_skf_0
41,lr,lr_seed_8_skf_1_paras_2_C_0.01_weight_balanced,0.287,8_skf_1
42,lr,lr_seed_8_skf_2_paras_2_C_0.01_weight_balanced,0.303,8_skf_2
43,lr,lr_seed_8_skf_3_paras_2_C_0.01_weight_balanced,0.314,8_skf_3
44,lr,lr_seed_8_skf_4_paras_2_C_0.01_weight_balanced,0.37200000000000005,8_skf_4
45,lr,lr_seed_9_skf_0_paras_2_C_0.01_weight_balanced,0.32299999999999995,9_skf_0
46,lr,lr_seed_9_skf_1_paras_2_C_0.01_weight_balanced,0.405,9_skf_1
47,lr,lr_seed_9_skf_2_paras_2_C_0.01_weight_balanced,0.319,9_skf_2
48,lr,lr_seed_9_skf_3_paras_2_C_0.01_weight_balanced,0.303,9_skf_3
49,lr,lr_seed_9_skf_4_paras_2_C_0.01_weight_balanced,0.369,9_skf_4
50,lr,lr_seed_10_skf_0_paras_2_C_0.01_weight_balanced,0.33799999999999997,10_skf_0
51,lr,lr_seed_10_skf_1_paras_2_C_0.01_weight_balanced,0.307,10_skf_1
52,lr,lr_seed_10_skf_2_paras_2_C_0.01_weight_balanced,0.287,10_skf_2
53,lr,lr_seed_10_skf_3_paras_2_C_0.01_weight_balanced,0.40700000000000003,10_skf_3
54,lr,lr_seed_10_skf_4_paras_2_C_0.01_weight_balanced,0.26899999999999996,10_skf_4
55,lr,lr_seed_11_skf_0_paras_2_C_0.01_weight_balanced,0.38,11_skf_0
56,lr,lr_seed_11_skf_1_paras_2_C_0.01_weight_balanced,0.33799999999999997,11_skf_1
57,lr,lr_seed_11_skf_2_paras_2_C_0.01_weight_balanced,0.28,11_skf_2
59,lr,lr_seed_11_skf_4_paras_2_C_0.01_weight_balanced,0.38,11_skf_4
60,lr,lr_seed_12_skf_0_paras_2_C_0.01_weight_balanced,0.38799999999999996,12_skf_0
61,lr,lr_seed_12_skf_1_paras_2_C_0.01_weight_balanced,0.317,12_skf_1
62,lr,lr_seed_12_skf_2_paras_2_C_0.01_weight_balanced,0.348,12_skf_2
63,lr,lr_seed_12_skf_3_paras_2_C_0.01_weight_balanced,0.278,12_skf_3
64,lr,lr_seed_12_skf_4_paras_2_C_0.01_weight_balanced,0.40299999999999997,12_skf_4
65,lr,lr_seed_13_skf_0_paras_2_C_0.01_weight_balanced,0.308,13_skf_0
66,lr,lr_seed_13_skf_1_paras_2_C_0.01_weight_balanced,0.38799999999999996,13_skf_1
67,lr,lr_seed_13_skf_2_paras_2_C_0.01_weight_balanced,0.38799999999999996,13_skf_2
68,lr,lr_seed_13_skf_3_paras_2_C_0.01_weight_balanced,0.4,13_skf_3
69,lr,lr_seed_13_skf_4_paras_2_C_0.01_weight_balanced,0.317,13_skf_4
70,lr,lr_seed_14_skf_0_paras_2_C_0.01_weight_balanced,0.25,14_skf_0
71,lr,lr_seed_14_skf_1_paras_2_C_0.01_weight_balanced,0.33,14_skf_1
72,lr,lr_seed_14_skf_2_paras_2_C_0.01_weight_balanced,0.36200000000000004,14_skf_2
73,lr,lr_seed_14_skf_3_paras_2_C_0.01_weight_balanced,0.35,14_skf_3
74,lr,lr_seed_14_skf_4_paras_2_C_0.01_weight_balanced,0.322,14_skf_4
75,lr,lr_seed_15_skf_0_paras_2_C_0.01_weight_balanced,0.361,15_skf_0
76,lr,lr_seed_15_skf_1_paras_2_C_0.01_weight_balanced,0.278,15_skf_1
77,lr,lr_seed_15_skf_2_paras_2_C_0.01_weight_balanced,0.35700000000000004,15_skf_2
