,model,name,MCC,seed
17,rf,rf_seed_3_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.369,3_skf_2
18,rf,rf_seed_3_skf_3_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.3,3_skf_3
19,rf,rf_seed_3_skf_4_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.292,3_skf_4
20,rf,rf_seed_4_skf_0_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.34700000000000003,4_skf_0
21,rf,rf_seed_4_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.34700000000000003,4_skf_1
22,rf,rf_seed_4_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.34700000000000003,4_skf_2
23,rf,rf_seed_4_skf_3_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.38299999999999995,4_skf_3
24,rf,rf_seed_4_skf_4_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.275,4_skf_4
25,rf,rf_seed_5_skf_0_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.275,5_skf_0
26,rf,rf_seed_5_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.29100000000000004,5_skf_1
27,rf,rf_seed_5_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.324,5_skf_2
28,rf,rf_seed_5_skf_3_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.315,5_skf_3
29,rf,rf_seed_5_skf_4_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.275,5_skf_4
31,rf,rf_seed_6_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.324,6_skf_1
32,rf,rf_seed_6_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.369,6_skf_2
34,rf,rf_seed_6_skf_4_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.36200000000000004,6_skf_4
35,rf,rf_seed_7_skf_0_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.39,7_skf_0
36,rf,rf_seed_7_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.369,7_skf_1
