,name,seed,tgood,vgood,model
59,knn_seed_43_skf_3_paras_0_K_3,43_skf_3,1,1,knn
60,knn_seed_44_skf_0_paras_0_K_3,44_skf_0,1,1,knn
61,knn_seed_44_skf_1_paras_0_K_3,44_skf_1,1,1,knn
62,knn_seed_44_skf_3_paras_0_K_3,44_skf_3,1,1,knn
63,knn_seed_44_skf_4_paras_0_K_3,44_skf_4,1,1,knn
64,knn_seed_45_skf_2_paras_0_K_3,45_skf_2,1,1,knn
65,knn_seed_46_skf_2_paras_0_K_3,46_skf_2,1,1,knn
66,knn_seed_48_skf_3_paras_0_K_3,48_skf_3,1,1,knn
67,knn_seed_48_skf_4_paras_0_K_3,48_skf_4,1,1,knn
68,knn_seed_49_skf_2_paras_0_K_3,49_skf_2,1,1,knn
69,knn_seed_51_skf_0_paras_0_K_3,51_skf_0,1,1,knn
70,knn_seed_53_skf_0_paras_0_K_3,53_skf_0,1,1,knn
71,knn_seed_53_skf_1_paras_0_K_3,53_skf_1,1,1,knn
72,knn_seed_54_skf_4_paras_0_K_3,54_skf_4,1,1,knn
73,knn_seed_55_skf_3_paras_0_K_3,55_skf_3,1,1,knn
74,knn_seed_56_skf_0_paras_0_K_3,56_skf_0,1,1,knn
75,knn_seed_56_skf_2_paras_0_K_3,56_skf_2,1,1,knn
76,knn_seed_57_skf_1_paras_0_K_3,57_skf_1,1,1,knn
77,knn_seed_57_skf_2_paras_0_K_3,57_skf_2,1,1,knn
78,knn_seed_57_skf_3_paras_0_K_3,57_skf_3,1,1,knn
79,knn_seed_58_skf_2_paras_0_K_3,58_skf_2,1,1,knn
80,knn_seed_59_skf_0_paras_0_K_3,59_skf_0,1,1,knn
81,knn_seed_59_skf_1_paras_0_K_3,59_skf_1,1,1,knn
82,knn_seed_60_skf_0_paras_0_K_3,60_skf_0,1,1,knn
83,knn_seed_61_skf_1_paras_0_K_3,61_skf_1,1,1,knn
84,knn_seed_62_skf_1_paras_0_K_3,62_skf_1,1,1,knn
85,knn_seed_62_skf_2_paras_0_K_3,62_skf_2,1,1,knn
86,knn_seed_63_skf_0_paras_0_K_3,63_skf_0,1,1,knn
87,knn_seed_63_skf_3_paras_0_K_3,63_skf_3,1,1,knn
88,knn_seed_64_skf_3_paras_0_K_3,64_skf_3,1,1,knn
89,knn_seed_67_skf_0_paras_0_K_3,67_skf_0,1,1,knn
90,knn_seed_67_skf_4_paras_0_K_3,67_skf_4,1,1,knn
91,knn_seed_68_skf_0_paras_0_K_3,68_skf_0,1,1,knn
92,knn_seed_68_skf_3_paras_0_K_3,68_skf_3,1,1,knn
93,knn_seed_69_skf_0_paras_0_K_3,69_skf_0,1,1,knn
94,knn_seed_70_skf_2_paras_0_K_3,70_skf_2,1,1,knn
95,knn_seed_70_skf_4_paras_0_K_3,70_skf_4,1,1,knn
96,knn_seed_71_skf_3_paras_0_K_3,71_skf_3,1,1,knn
