,model,name,MCC,seed
89,knn,knn_seed_17_skf_4_paras_0_K_3,0.32799999999999996,17_skf_4
90,knn,knn_seed_18_skf_0_paras_0_K_3,0.185,18_skf_0
91,knn,knn_seed_18_skf_1_paras_0_K_3,0.282,18_skf_1
92,knn,knn_seed_18_skf_2_paras_0_K_3,0.304,18_skf_2
93,knn,knn_seed_18_skf_3_paras_0_K_3,0.282,18_skf_3
94,knn,knn_seed_18_skf_4_paras_0_K_3,0.259,18_skf_4
95,knn,knn_seed_19_skf_0_paras_0_K_3,0.326,19_skf_0
96,knn,knn_seed_19_skf_1_paras_0_K_3,0.259,19_skf_1
97,knn,knn_seed_19_skf_2_paras_0_K_3,0.34700000000000003,19_skf_2
98,knn,knn_seed_19_skf_3_paras_0_K_3,0.235,19_skf_3
99,knn,knn_seed_19_skf_4_paras_0_K_3,0.35,19_skf_4
0,lr,lr_seed_0_skf_0_paras_0_C_0.001_weight_balanced,0.31,0_skf_0
1,lr,lr_seed_0_skf_1_paras_0_C_0.001_weight_balanced,0.355,0_skf_1
2,lr,lr_seed_0_skf_2_paras_0_C_0.001_weight_balanced,0.37200000000000005,0_skf_2
3,lr,lr_seed_0_skf_3_paras_0_C_0.001_weight_balanced,0.319,0_skf_3
4,lr,lr_seed_0_skf_4_paras_0_C_0.001_weight_balanced,0.358,0_skf_4
5,lr,lr_seed_1_skf_0_paras_0_C_0.001_weight_balanced,0.382,1_skf_0
6,lr,lr_seed_1_skf_1_paras_0_C_0.001_weight_balanced,0.39799999999999996,1_skf_1
7,lr,lr_seed_1_skf_2_paras_0_C_0.001_weight_balanced,0.256,1_skf_2
8,lr,lr_seed_1_skf_3_paras_0_C_0.001_weight_balanced,0.342,1_skf_3
9,lr,lr_seed_1_skf_4_paras_0_C_0.001_weight_balanced,0.344,1_skf_4
10,lr,lr_seed_2_skf_0_paras_0_C_0.001_weight_balanced,0.317,2_skf_0
11,lr,lr_seed_2_skf_1_paras_0_C_0.001_weight_balanced,0.303,2_skf_1
12,lr,lr_seed_2_skf_2_paras_0_C_0.001_weight_balanced,0.342,2_skf_2
14,lr,lr_seed_2_skf_4_paras_0_C_0.001_weight_balanced,0.311,2_skf_4
15,lr,lr_seed_3_skf_0_paras_0_C_0.001_weight_balanced,0.363,3_skf_0
17,lr,lr_seed_3_skf_2_paras_0_C_0.001_weight_balanced,0.387,3_skf_2
18,lr,lr_seed_3_skf_3_paras_0_C_0.001_weight_balanced,0.248,3_skf_3
19,lr,lr_seed_3_skf_4_paras_0_C_0.001_weight_balanced,0.401,3_skf_4
20,lr,lr_seed_4_skf_0_paras_0_C_0.001_weight_balanced,0.305,4_skf_0
21,lr,lr_seed_4_skf_1_paras_0_C_0.001_weight_balanced,0.33799999999999997,4_skf_1
23,lr,lr_seed_4_skf_3_paras_0_C_0.001_weight_balanced,0.361,4_skf_3
24,lr,lr_seed_4_skf_4_paras_0_C_0.001_weight_balanced,0.355,4_skf_4
25,lr,lr_seed_5_skf_0_paras_0_C_0.001_weight_balanced,0.355,5_skf_0
26,lr,lr_seed_5_skf_1_paras_0_C_0.001_weight_balanced,0.355,5_skf_1
27,lr,lr_seed_5_skf_2_paras_0_C_0.001_weight_balanced,0.265,5_skf_2
28,lr,lr_seed_5_skf_3_paras_0_C_0.001_weight_balanced,0.348,5_skf_3
30,lr,lr_seed_6_skf_0_paras_0_C_0.001_weight_balanced,0.297,6_skf_0
31,lr,lr_seed_6_skf_1_paras_0_C_0.001_weight_balanced,0.265,6_skf_1
32,lr,lr_seed_6_skf_2_paras_0_C_0.001_weight_balanced,0.374,6_skf_2
33,lr,lr_seed_6_skf_3_paras_0_C_0.001_weight_balanced,0.344,6_skf_3
35,lr,lr_seed_7_skf_0_paras_0_C_0.001_weight_balanced,0.387,7_skf_0
36,lr,lr_seed_7_skf_1_paras_0_C_0.001_weight_balanced,0.29100000000000004,7_skf_1
37,lr,lr_seed_7_skf_2_paras_0_C_0.001_weight_balanced,0.368,7_skf_2
38,lr,lr_seed_7_skf_3_paras_0_C_0.001_weight_balanced,0.37200000000000005,7_skf_3
39,lr,lr_seed_7_skf_4_paras_0_C_0.001_weight_balanced,0.348,7_skf_4
40,lr,lr_seed_8_skf_0_paras_0_C_0.001_weight_balanced,0.345,8_skf_0
41,lr,lr_seed_8_skf_1_paras_0_C_0.001_weight_balanced,0.299,8_skf_1
42,lr,lr_seed_8_skf_2_paras_0_C_0.001_weight_balanced,0.344,8_skf_2
43,lr,lr_seed_8_skf_3_paras_0_C_0.001_weight_balanced,0.311,8_skf_3
44,lr,lr_seed_8_skf_4_paras_0_C_0.001_weight_balanced,0.342,8_skf_4
45,lr,lr_seed_9_skf_0_paras_0_C_0.001_weight_balanced,0.33799999999999997,9_skf_0
46,lr,lr_seed_9_skf_1_paras_0_C_0.001_weight_balanced,0.348,9_skf_1
47,lr,lr_seed_9_skf_2_paras_0_C_0.001_weight_balanced,0.317,9_skf_2
49,lr,lr_seed_9_skf_4_paras_0_C_0.001_weight_balanced,0.344,9_skf_4
51,lr,lr_seed_10_skf_1_paras_0_C_0.001_weight_balanced,0.379,10_skf_1
