,name,seed,tgood,vgood,model
83,knn_seed_61_skf_4_paras_1_K_5,61_skf_4,1,1,knn
84,knn_seed_62_skf_2_paras_1_K_5,62_skf_2,1,1,knn
85,knn_seed_63_skf_0_paras_1_K_5,63_skf_0,1,1,knn
86,knn_seed_63_skf_1_paras_1_K_5,63_skf_1,1,1,knn
87,knn_seed_63_skf_2_paras_1_K_5,63_skf_2,1,1,knn
88,knn_seed_63_skf_4_paras_1_K_5,63_skf_4,1,1,knn
89,knn_seed_64_skf_4_paras_1_K_5,64_skf_4,1,1,knn
90,knn_seed_65_skf_1_paras_1_K_5,65_skf_1,1,1,knn
91,knn_seed_65_skf_4_paras_1_K_5,65_skf_4,1,1,knn
92,knn_seed_66_skf_2_paras_1_K_5,66_skf_2,1,1,knn
93,knn_seed_67_skf_0_paras_1_K_5,67_skf_0,1,1,knn
94,knn_seed_68_skf_0_paras_1_K_5,68_skf_0,1,1,knn
95,knn_seed_68_skf_3_paras_1_K_5,68_skf_3,1,1,knn
96,knn_seed_68_skf_4_paras_1_K_5,68_skf_4,1,1,knn
97,knn_seed_69_skf_0_paras_1_K_5,69_skf_0,1,1,knn
98,knn_seed_70_skf_0_paras_1_K_5,70_skf_0,1,1,knn
99,knn_seed_70_skf_2_paras_1_K_5,70_skf_2,1,1,knn
100,knn_seed_71_skf_0_paras_1_K_5,71_skf_0,1,1,knn
101,knn_seed_71_skf_3_paras_1_K_5,71_skf_3,1,1,knn
102,knn_seed_71_skf_4_paras_1_K_5,71_skf_4,1,1,knn
103,knn_seed_72_skf_2_paras_1_K_5,72_skf_2,1,1,knn
104,knn_seed_72_skf_4_paras_1_K_5,72_skf_4,1,1,knn
105,knn_seed_74_skf_4_paras_1_K_5,74_skf_4,1,1,knn
106,knn_seed_75_skf_0_paras_1_K_5,75_skf_0,1,1,knn
107,knn_seed_75_skf_2_paras_1_K_5,75_skf_2,1,1,knn
108,knn_seed_75_skf_3_paras_1_K_5,75_skf_3,1,1,knn
109,knn_seed_76_skf_2_paras_1_K_5,76_skf_2,1,1,knn
110,knn_seed_76_skf_3_paras_1_K_5,76_skf_3,1,1,knn
111,knn_seed_77_skf_0_paras_1_K_5,77_skf_0,1,1,knn
112,knn_seed_77_skf_1_paras_1_K_5,77_skf_1,1,1,knn
113,knn_seed_77_skf_2_paras_1_K_5,77_skf_2,1,1,knn
114,knn_seed_77_skf_4_paras_1_K_5,77_skf_4,1,1,knn
115,knn_seed_78_skf_2_paras_1_K_5,78_skf_2,1,1,knn
116,knn_seed_80_skf_0_paras_1_K_5,80_skf_0,1,1,knn
117,knn_seed_80_skf_4_paras_1_K_5,80_skf_4,1,1,knn
118,knn_seed_83_skf_2_paras_1_K_5,83_skf_2,1,1,knn
119,knn_seed_84_skf_1_paras_1_K_5,84_skf_1,1,1,knn
120,knn_seed_84_skf_3_paras_1_K_5,84_skf_3,1,1,knn
121,knn_seed_84_skf_4_paras_1_K_5,84_skf_4,1,1,knn
122,knn_seed_85_skf_1_paras_1_K_5,85_skf_1,1,1,knn
123,knn_seed_86_skf_2_paras_1_K_5,86_skf_2,1,1,knn
124,knn_seed_87_skf_0_paras_1_K_5,87_skf_0,1,1,knn
125,knn_seed_88_skf_0_paras_1_K_5,88_skf_0,1,1,knn
126,knn_seed_88_skf_3_paras_1_K_5,88_skf_3,1,1,knn
127,knn_seed_88_skf_4_paras_1_K_5,88_skf_4,1,1,knn
128,knn_seed_89_skf_1_paras_1_K_5,89_skf_1,1,1,knn
129,knn_seed_90_skf_0_paras_1_K_5,90_skf_0,1,1,knn
130,knn_seed_90_skf_4_paras_1_K_5,90_skf_4,1,1,knn
131,knn_seed_91_skf_4_paras_1_K_5,91_skf_4,1,1,knn
132,knn_seed_92_skf_0_paras_1_K_5,92_skf_0,1,1,knn
133,knn_seed_92_skf_1_paras_1_K_5,92_skf_1,1,1,knn
134,knn_seed_94_skf_1_paras_1_K_5,94_skf_1,1,1,knn
135,knn_seed_94_skf_4_paras_1_K_5,94_skf_4,1,1,knn
136,knn_seed_95_skf_0_paras_1_K_5,95_skf_0,1,1,knn
137,knn_seed_95_skf_2_paras_1_K_5,95_skf_2,1,1,knn
138,knn_seed_96_skf_0_paras_1_K_5,96_skf_0,1,1,knn
139,knn_seed_97_skf_1_paras_1_K_5,97_skf_1,1,1,knn
